"league_id","pixel_prod_num","center_number","name","start_date","end_date","lineage_cost","centaman_league_number","day_of_week","cover","gl_account"
"151EC0DE-A9C2-42E0-8F84-B2CA083A153F","","311","5201-Hits n Misses 2018","08/14/2018 0:00","05/21/2019 0:00","13","5201","2","3","4115"
"152C091A-0930-4347-8EDE-9921E58E8D3E","","374","7608-BVL","10/20/2018 0:00","11/24/2018 0:00","9","9997608","8","3","4140"
"152CA2ED-8058-486B-A12F-0B075D9078A9","","394","7604-Chris Charron Bowling Tou","10/20/2018 0:00","12/01/2018 0:00","9","9997604","8","3","4140"
"15CE334A-E553-42E0-9BFA-FA61258EE94C","","836","5300-Au$tell MegaCa$h","08/01/2018 0:00","05/08/2019 0:00","8","5300","3","3","4115"
"1639EE52-E569-42A4-8685-5DF44019B1D8","","864","7302-Special Olympics Tourname","10/24/2018 0:00","12/08/2018 0:00","2.5","9997302","8","1","4140"
"173E7271-A59E-48D2-89DD-CC495A77339F","","865","7677-Arizona Bowlerettes","10/27/2018 0:00","12/01/2018 0:00","3.5","9997677","8","3","4140"
"196EDD35-49DE-4C23-AA76-1EB7CAE86D9C","","398","5401-Terribly Mixed Fall 2018-","08/23/2018 0:00","05/23/2019 0:00","13.7","5401","4","3","4115"
"197A5422-B37D-45E9-BA40-F4C9E2C8D3B6","","402","7712-FL State Senior Womens Si","10/21/2018 0:00","11/25/2018 0:00","8","9997712","8","3","4140"
"1A2A7409-4172-4A7D-BD06-D39AD1689599","","270","5100-10x10 Mixed League","09/03/2018 0:00","01/21/2019 0:00","10","5100","1","3","4115"
"1A86FF62-6FA2-4260-9751-ADC0616C744A","","207","5304-Oak Run and Friends","08/22/2018 0:00","04/17/2019 0:00","11","5304","3","3","4130"
"1B6ECAEC-3D9F-47C6-A858-A4E66642EBA7","","836","5201-LUCKY STRIKERS","07/31/2018 0:00","05/14/2019 0:00","11.7","5201","2","3","4115"
"1C3196FC-E745-485A-ADC0-0AB036666FB1","","887","5304-WEDNESDAY NIGHT MEN","08/15/2018 0:00","05/29/2019 0:00","12.1","5304","3","3","4115"
